"Company Name","Pricing Date","ALBERTA","MANITOBA","NEW BRUNSWICK","NOVA SCOTIA","ONTARIO","QUEBEC","SASKATCHEWAN","VANCOUVER RACK","NANAIMO","PRINCE GEROGE RACK","KAMLOOPS RACK","BAINSVILLE","BELMONT","CARDINAL","COCHRANE","CORNWALL","DRYDEN","DUNVEGAN","FORT FRANCES","HAWKESBURY","INGERSOLL","JOYCEVILLE","KINGSTON","NIPIGON","NORTH BAY","ROSSLYN","SAULT STE MARIE","SIOUX LOOKOUT","SPENCERVILLE","THESSALON","THUNDER BAY","WAWA","WHITE RIVER","WOODSTOCK","WINDSOR"
"2241507 ONTARIO INC O/A FREIGHTZONE TRANSPORTATION","2023-11-09","0.15","0.16","0.04","0.04","0.048","0.04","0.15","0.08","0.07","0.15","0.16","0.035","0.04","0.035","0.03","0.035","0.17","0.035","0.15","0.035","0.04","0.045","0.045","0.15","0.04","0.15","0.04","0.15","0.035","0.04","0.15","0.15","0.15","0.04","0.055"
"2267994 ALBERTA LTD","2023-11-09","0.15","0.16","0.04","0.04","0.048","0.04","0.15","0.08","0.07","0.15","0.16","0.035","0.04","0.035","0.03","0.035","0.17","0.035","0.15","0.035","0.04","0.045","0.045","0.15","0.04","0.15","0.04","0.15","0.035","0.04","0.15","0.15","0.15","0.04","0.055"
"2273025 ONTARIO INC O/A MAHA TRUCKLINES INC","2023-11-09","0.18","0.19","0.07","0.07","0.078","0.07","0.18","0.11","0.1","0.18","0.19","0.065","0.07","0.065","0.06","0.065","0.2","0.065","0.18","0.065","0.07","0.075","0.075","0.18","0.07","0.18","0.07","0.18","0.065","0.07","0.18","0.18","0.18","0.07","0.085"
"2301715 Ontario Inc","2023-11-09","0.18","0.19","0.07","0.07","0.078","0.07","0.18","0.11","0.1","0.18","0.19","0.065","0.07","0.065","0.06","0.065","0.2","0.065","0.18","0.065","0.07","0.075","0.075","0.18","0.07","0.18","0.07","0.18","0.065","0.07","0.18","0.18","0.18","0.07","0.085"
"2333758 ONTARIO INC O/A TRANS UNITE","2023-11-09","0.16","0.17","0.05","0.05","0.058","0.05","0.16","0.09","0.08","0.16","0.17","0.045","0.05","0.045","0.04","0.045","0.18","0.045","0.16","0.045","0.05","0.055","0.055","0.16","0.05","0.16","0.05","0.16","0.045","0.05","0.16","0.16","0.16","0.05","0.065"
"2341629 ONTARIO INC O/A RAPID FIRE TRUCKING","2023-11-09","0.17","0.18","0.06","0.06","0.068","0.06","0.17","0.1","0.09","0.17","0.18","0.055","0.06","0.055","0.05","0.055","0.19","0.055","0.17","0.055","0.06","0.065","0.065","0.17","0.06","0.17","0.06","0.17","0.055","0.06","0.17","0.17","0.17","0.06","0.075"
"2368457 ONTARIO INC O/A TJ HUNT TRUCKLINES","2023-11-09","0.135","0.145","0.025","0.025","0.033","0.025","0.135","0.065","0.055","0.135","0.145","0.02","0.025","0.02","0.015","0.02","0.155","0.02","0.135","0.02","0.025","0.03","0.03","0.135","0.025","0.135","0.025","0.135","0.02","0.025","0.135","0.135","0.135","0.025","0.04"
"2373359 ONTARIO INC O/A CRUSADERS CARGO CARRIERS ","2023-11-09","0.16","0.17","0.05","0.05","0.058","0.05","0.16","0.09","0.08","0.16","0.17","0.045","0.05","0.045","0.04","0.045","0.18","0.045","0.16","0.045","0.05","0.055","0.055","0.16","0.05","0.16","0.05","0.16","0.045","0.05","0.16","0.16","0.16","0.05","0.065"
"2414616 Ontario Inc O/A SEQUEL GROUP","2023-11-09","0.17","0.18","0.06","0.06","0.068","0.06","0.17","0.1","0.09","0.17","0.18","0.055","0.06","0.055","0.05","0.055","0.19","0.055","0.17","0.055","0.06","0.065","0.065","0.17","0.06","0.17","0.06","0.17","0.055","0.06","0.17","0.17","0.17","0.06","0.075"
"2423865 ONTARIO INC O/A JK HUNT TRUCKLINES","2023-11-09","0.135","0.145","0.025","0.025","0.033","0.025","0.135","0.065","0.055","0.135","0.145","0.02","0.025","0.02","0.015","0.02","0.155","0.02","0.135","0.02","0.025","0.03","0.03","0.135","0.025","0.135","0.025","0.135","0.02","0.025","0.135","0.135","0.135","0.025","0.04"
